scenario,fillId,fillTimeUtc,fillDate,crashClusterId,clusterFillOrdinal,clusterFillCount,sameCrashContinuousMultiLevelFill,baselineTargetExposure,baselineTargetContracts,thresholdDrop,bonusExposure,limitPrice,intendedPrice,effectivePrice,contracts,contractsAfter,exposureAfter,dayClose,oneDayReturn,threeDayReturn,sevenDayReturn,markToMarketPnlBtc,btcPnlBtc,relativeBaselineIncrementalPnlBtc,relativeBaselinePriceAdvantageBtc,feeBtc,fundingPnlBtc,slippageBtc,baselineCounterfactualEffectivePrice,sameCrashClusterMultipleFills,clusterMarginalEndingBtc,clusterTopRank
"curve_mild","curve_mild:maker-fill:13","2024-06-11T15:38:59.766Z","2024-06-11","crash-2024-06-11","1","1","false","1.25","195","-0.05","0.05","66051.695","66051.695","66084.72084750001","24","219","1.2992645005411272","67322.26980566","0.01365071173183674","-0.01966820778372924","-0.03219395285150939","-0.0005282949639440029","-0.000596274171438852","0.0018249301571281696","0.0018158509026150993","0.000007263403610460412","-0.00006797920749484914","0.000018158509026154938","69562.86405","false","0.0006636829226285279","15"
"curve_mild","curve_mild:maker-fill:14","2024-06-24T16:38:14.957Z","2024-06-24","crash-2024-06-24","1","1","false","1","0","-0.05","0.05","59995.825","59995.825","60025.82291249999","33","33","1.049835330169397","60269.41406789","0.02525826533712805","0.022393269983672415","0.04272416140763302","0.0002174940495235984","0.00021814377858192779","0.0027625610437981645","0.0027488169590031562","0.00001099526783601261","6.497290583293812e-7","0.000027488169590033238","63185.07674999999","false","0.00016385868484691812","19"
"curve_mild","curve_mild:maker-fill:15","2024-07-04T08:39:47.646Z","2024-07-04","crash-2024-07-04","1","1","false","1","0","-0.05","0.05","57123.5","57123.5","57152.06174999999","32","32","1.050749378885742","57036.24421208","-0.0069567079978937185","-0.020883090867819254","0.0054041218226763554","-0.00011379160131689756","-0.00012491486152103076","0.002813546792124262","0.0027995490468898086","0.000011198196187559237","-0.000011123260204133202","0.000027995490468890605","60160.064999999995","false","0.0027959999326869767","6"
"curve_mild","curve_mild:maker-fill:16","2024-08-02T20:39:31.284Z","2024-08-02","crash-2024-08-02","1","2","false","1.25","178","-0.05","0.05","62025.5","62025.5","62056.512749999994","22","200","1.300254974153967","61416.19026397","-0.012007811165757665","-0.12056699398015291","-0.009102827394814383","-0.0007995749503175203","-0.0008086664604380902","0.001781440740077672","0.0017725778508235577","0.0000070903114032942504","-0.000009091510120569907","0.000017725778508232445","65322.645","true","0.013049137723235349","1"
"curve_mild","curve_mild:maker-fill:17","2024-08-04T17:32:37.454Z","2024-08-04","crash-2024-08-02","2","2","false","1","0","-0.05","0.05","57625.19499999999","57625.19499999999","57654.00759749999","31","31","1.0503791505710742","58126.22600575","-0.07079078526813276","-0.05164832697228661","0.010267178087580708","0.000471112037000266","0.0004751233957292996","0.0027018937016054915","0.002688451444383573","0.000010753805777534269","0.00000401135872903358","0.000026884514443838883","60688.42905","true","0.013049137723235349","1"
"curve_mild","curve_mild:maker-fill:18","2024-10-01T20:39:29.828Z","2024-10-01","crash-2024-10-01","1","1","false","1","0","-0.05","0.05","60121.51","60121.51","60151.570755","31","31","1.0496812579040153","60810.09110703","-0.0028673316595285714","0.020920307790213588","0.02166291420500288","0.0005469580440437767","0.0005514553587556019","0.002589707933554704","0.0025768238144822913","0.00001030729525792913","0.00000449731471182514","0.000025768238144823334","63317.4429","false","0.0006334724445640205","17"
"curve_mild","curve_mild:maker-fill:19","2024-11-25T22:10:52.002Z","2024-11-25","crash-2024-11-25","1","1","false","1.0220042255169748","21","-0.05","0.05","93165.265","93165.265","93211.8476325","45","66","1.0715004875087928","93007.39097731","-0.011686440561107347","0.028463688857973013","0.030648573534499235","-0.0000741817023506904","-0.00007970798504483987","0.0024259255206648","0.0024138562394674613","0.000009655424957869827","-0.000005526282694149477","0.000024138562394673547","98117.73435","false","-0.0003414657376374919","21"
"curve_mild","curve_mild:maker-fill:20","2024-12-05T22:32:05.923Z","2024-12-05","crash-2024-12-05","1","1","false","0.975937949994868","-23","-0.05","0.05","93835.015","93835.015","93881.9325075","47","24","1.025857475437577","97065.46928786","0.029079349932046528","0.04240543148545606","0.030686452476900827","0.0008478714585894535","0.0008453988733846836","0.0025156597621287034","0.002503144041919104","0.000010012576167676414","-0.000002472585204769807","0.00002503144041918929","98823.08684999999","false","0.0027628056112150023","7"
"curve_mild","curve_mild:maker-fill:21","2024-12-09T20:38:30.503Z","2024-12-09","crash-2024-12-09","1","1","false","1.0725635541780025","73","-0.05","0.05","96189.4","96189.4","96237.4947","43","116","1.1223204641541398","97410.50602272","-0.007755967080324888","0.027035668770427623","0.08900645478741054","0.0013642440858602453","0.001286391072811924","0.0022452267764613747","0.0022340564939914206","0.000008936225975965686","-0.00007785301304832115","0.000022340564939913622","101302.62599999999","false","0.0007817005966694879","13"
"curve_mild","curve_mild:maker-fill:22","2024-12-18T20:35:29.715Z","2024-12-18","crash-2024-12-18","1","2","false","1.25","265","-0.05","0.05","100862.64","100862.64","100913.07131999999","34","299","1.3002106876595265","100153.0940788","-0.02773571348314441","-0.02927880855396081","-0.007874439515463183","-0.002684630442317498","-0.002814186517685181","0.001693041325223637","0.0016846182340533695","0.000006738472936213474","-0.00012955607536768287","0.00001684618234053191","106224.28559999999","true","0.0025504732258918583","8"
