scenario,year,clusterId,startDate,endDate,crashDays,featureAsOfDate,featureObservationCount,filled,fillCount,outcomeClass,marginalEndingBtc,fullEndingBtc,withoutEndingBtc,clusterTopRank,v3TrendScore,bearLock,baselineTargetExposure,priceVsMA200,ma200Slope30,ema15,ema30,ema15VsEma30,drawdown365,ma200Deviation,rv30,volatilityCap,preCrash7dReturn,preCrash30dReturn,preCrash7dRealizedVol,consecutiveDown3,consecutiveDown5,consecutiveDown7,preCrash30dHighDrawdown,preCrash90dHighDrawdown,fundingLastRate,fundingMean7dAvailable,fundingMedian7dAvailable,fundingPositiveShare7d,fundingEvents7dAvailable,fundingExpectedSlots7d,fundingCoverageRatio7d,fundingStatus7d
"curve_mild","2024","crash-2024-03-14","2024-03-14","2024-03-16","[""2024-03-14"",""2024-03-15"",""2024-03-16""]","2024-03-13","1317","true","3","profitable","0.0025501693219738275","1.3999098900113864","1.3973597206894126","11","3","false","1.0006997995219449","0.8483246177231791","0.13183811516551325","66313.1070968715","60911.6564807192","0.08867679731977196","0","0.8483246177231791","0.5995804139129761","1.0006997995219449","0.10589260647741283","0.4640393625973065","0.3250091019114956","false","false","false","0","0","0.0001","0.00043464333333333323","0.00038313","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-03-14","2024-03-14","2024-03-16","[""2024-03-14"",""2024-03-15"",""2024-03-16""]","2024-03-13","1317","true","3","profitable","0.005386704724911651","1.4522557251741064","1.4468690204491947","10","3","false","1.0006997995219449","0.8483246177231791","0.13183811516551325","66313.1070968715","60911.6564807192","0.08867679731977196","0","0.8483246177231791","0.5995804139129761","1.0006997995219449","0.10589260647741283","0.4640393625973065","0.3250091019114956","false","false","false","0","0","0.0001","0.00043464333333333323","0.00038313","1","21","21","1","complete"
"curve_mild","2024","crash-2024-03-19","2024-03-19","2024-03-19","[""2024-03-19""]","2024-03-18","1322","true","1","losing","-0.0030155971485361643","1.3999098900113864","1.4029254871599226","41","3","false","0.8853339125644464","0.6646561892200129","0.1438925957998678","67232.21255881504","63007.11839025188","0.06705740996428178","-0.07531313493616842","0.6646561892200129","0.6777103999801024","0.8853339125644464","-0.062407191977031595","0.3083284790084422","0.6724255377940637","false","false","false","-0.07531313493616842","-0.07531313493616842","0.00013347","0.0003266142857142857","0.00033098","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-03-19","2024-03-19","2024-03-19","[""2024-03-19""]","2024-03-18","1322","true","1","losing","-0.005936454166190597","1.4522557251741064","1.458192179340297","41","3","false","0.8853339125644464","0.6646561892200129","0.1438925957998678","67232.21255881504","63007.11839025188","0.06705740996428178","-0.07531313493616842","0.6646561892200129","0.6777103999801024","0.8853339125644464","-0.062407191977031595","0.3083284790084422","0.6724255377940637","false","false","false","-0.07531313493616842","-0.07531313493616842","0.00013347","0.0003266142857142857","0.00033098","1","21","21","1","complete"
"curve_mild","2024","crash-2024-04-02","2024-04-02","2024-04-02","[""2024-04-02""]","2024-04-01","1336","true","1","losing","-0.0008583602825886771","1.3999098900113864","1.4007682502939751","39","3","false","0.7814974335677035","0.6001057505882534","0.16712509076702786","68739.92514554664","66348.93897257198","0.03603653969452436","-0.04679433132653266","0.6001057505882534","0.767756839918042","0.7814974335677035","-0.003319949298099756","0.1233491989431097","0.3222267528180716","false","false","false","-0.04679433132653266","-0.04679433132653266","0.0001516","0.00034324000000000003","0.00033233","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-04-02","2024-04-02","2024-04-02","[""2024-04-02""]","2024-04-01","1336","true","1","losing","-0.0018000951526426778","1.4522557251741064","1.454055820326749","39","3","false","0.7814974335677035","0.6001057505882534","0.16712509076702786","68739.92514554664","66348.93897257198","0.03603653969452436","-0.04679433132653266","0.6001057505882534","0.767756839918042","0.7814974335677035","-0.003319949298099756","0.1233491989431097","0.3222267528180716","false","false","false","-0.04679433132653266","-0.04679433132653266","0.0001516","0.00034324000000000003","0.00033233","1","19","21","0.9047619047619048","partial"
"curve_mild","2024","crash-2024-04-12","2024-04-12","2024-04-19","[""2024-04-12"",""2024-04-13"",""2024-04-15"",""2024-04-17"",""2024-04-19""]","2024-04-11","1346","true","6","profitable","0.010743758325123753","1.3999098900113864","1.3891661316862627","2","3","false","0.8412883470944986","0.5336569314628552","0.16116148429817412","69141.86815895377","67656.08308924857","0.021960849665878968","-0.04225311159958878","0.5336569314628552","0.7131918587392538","0.8412883470944986","0.021809094916323657","-0.020321115490049335","0.43518256238594183","false","false","false","-0.04225311159958878","-0.04225311159958878","0.0001","0.00011259666666666665","0.0001","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-04-12","2024-04-12","2024-04-19","[""2024-04-12"",""2024-04-13"",""2024-04-15"",""2024-04-17"",""2024-04-19""]","2024-04-11","1346","true","6","profitable","0.025641240250723563","1.4522557251741064","1.4266144849233828","1","3","false","0.8412883470944986","0.5336569314628552","0.16116148429817412","69141.86815895377","67656.08308924857","0.021960849665878968","-0.04225311159958878","0.5336569314628552","0.7131918587392538","0.8412883470944986","0.021809094916323657","-0.020321115490049335","0.43518256238594183","false","false","false","-0.04225311159958878","-0.04225311159958878","0.0001","0.00011259666666666665","0.0001","1","21","21","1","complete"
"curve_mild","2024","crash-2024-04-30","2024-04-30","2024-05-01","[""2024-04-30"",""2024-05-01""]","2024-04-29","1364","true","2","profitable","0.0007570204274043313","1.3999098900113864","1.399152869583982","21","2","false","1","0.30263715369751476","0.13655282141583647","64643.49688405536","65305.93855974303","-0.010143666721544098","-0.12696938369929223","0.30263715369751476","0.510380939757993","1.1755924903553443","-0.045135829399201244","-0.08324014493441667","0.26138897517221815","false","false","false","-0.10881994812080842","-0.12696938369929223","0.0001","0.00007230571428571431","0.00008788","0.9047619047619048","21","21","1","complete"
"curve_aggressive","2024","crash-2024-04-30","2024-04-30","2024-05-01","[""2024-04-30"",""2024-05-01""]","2024-04-29","1364","true","2","profitable","0.0010960906498052037","1.4522557251741064","1.4511596345243012","25","2","false","1","0.30263715369751476","0.13655282141583647","64643.49688405536","65305.93855974303","-0.010143666721544098","-0.12696938369929223","0.30263715369751476","0.510380939757993","1.1755924903553443","-0.045135829399201244","-0.08324014493441667","0.26138897517221815","false","false","false","-0.10881994812080842","-0.12696938369929223","0.0001","0.00007230571428571431","0.00008788","0.9047619047619048","21","21","1","complete"
